lugar,fecha,latitud,longitud,profundidad,magnitud
36 km al E de Putre,2022-05-07 23:54:35,-18.32,-69.24,123 km,3.2 Ml
55 km al NE de Calama,2022-05-07 23:08:46,-22.015,-68.709,105 km,2.5 Ml
39 km al NO de ConstituciÃ³n,2022-05-07 19:33:56,-34.998,-72.56,12 km,2.7 Ml
62 km al SE de CamiÃ±a,2022-05-07 18:21:58,-19.814,-69.173,94 km,3.4 Ml
53 km al N de Mejillones,2022-05-07 17:39:42,-22.627,-70.373,41 km,2.8 Ml
38 km al N de ValparaÃ­so,2022-05-07 16:49:28,-32.708,-71.628,29 km,3.2 Ml
96 km al SE de Socaire,2022-05-07 16:12:49,-24.146,-67.165,214 km,3.4 Ml
30 km al S de Santiago,2022-05-07 15:02:14,-33.71,-70.642,30 km,2.6 Ml
56 km al SO de Los Vilos,2022-05-07 14:16:44,-32.339,-71.819,22 km,2.5 Ml
82 km al E de Tierra Amarilla,2022-05-07 12:30:00,-27.32,-69.457,110 km,3.8 Ml
69 km al N de Quillagua,2022-05-07 11:05:13,-21.044,-69.635,50 km,3.4 Ml
36 km al NE de ConcepciÃ³n,2022-05-07 06:12:23,-36.537,-72.86,32 km,4.6 Mw
28 km al E de Quillota,2022-05-07 05:02:26,-32.843,-70.951,76 km,3.1 Ml
18 km al S de La Serena,2022-05-07 01:24:09,-30.055,-71.308,63 km,3.1 Ml
