evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
58 km al SE de Socaire,-24.020 ,-67.574,2023-02-25,18:42:03,2023-02-25,21:42:03,235,km,3.0,Ml
55 km al E de Sierra Gorda.,-23.090 ,-68.820,2023-02-25,18:17:00,2023-02-25,21:17:00,138,km,2.5,Ml
64 km al SE de Socaire,-23.840 ,-67.319,2023-02-25,15:20:14,2023-02-25,18:20:14,255,km,3.9,Ml
39 km al NO de Lota,-36.899 ,-73.521,2023-02-25,13:25:14,2023-02-25,16:25:14,39,km,4.8,Mw
46 km al SO de Mina Collahuasi,-21.139 ,-68.944,2023-02-25,11:15:15,2023-02-25,14:15:15,110,km,2.6,Ml
68 km al SE de Socaire,-24.154 ,-67.630,2023-02-25,11:00:08,2023-02-25,14:00:08,227,km,3.0,Ml
58 km al SE de San FabiÃ¡n,-36.952 ,-71.136,2023-02-25,10:58:22,2023-02-25,13:58:22,128,km,3.1,Ml
34 km al NO de Caldera,-26.847 ,-71.054,2023-02-25,08:03:34,2023-02-25,11:03:34,24,km,3.7,Ml
34 km al E de Sierra Gorda.,-22.897 ,-68.986,2023-02-25,07:44:06,2023-02-25,10:44:06,107,km,2.5,Ml
12 km al NE de Socaire,-23.493 ,-67.837,2023-02-25,06:57:27,2023-02-25,09:57:27,155,km,3.1,Ml
48 km al SO de Mina Collahuasi,-21.154 ,-68.954,2023-02-25,06:28:50,2023-02-25,09:28:50,115,km,2.8,Ml
99 km al E de Socaire,-23.518 ,-66.923,2023-02-25,04:51:53,2023-02-25,07:51:53,207,km,2.7,Ml
54 km al N de Tocopilla,-21.610 ,-70.246,2023-02-25,04:05:20,2023-02-25,07:05:20,35,km,4.2,Ml
70 km al S de Socaire,-24.215 ,-67.776,2023-02-25,01:17:41,2023-02-25,04:17:41,229,km,3.4,Ml
26 km al SO de Tongoy,-30.424 ,-71.682,2023-02-24,23:15:36,2023-02-25,02:15:36,28,km,2.5,Ml
14 km al N de Tocopilla,-21.969 ,-70.183,2023-02-24,22:25:22,2023-02-25,01:25:22,62,km,3.1,Ml
69 km al SO de OllagÃ¼e,-21.739 ,-68.622,2023-02-24,22:18:50,2023-02-25,01:18:50,116,km,2.8,Ml
